es,var,study_id,factor_1,factor_2,factor_3
-0.77,3.4526277724204e-4,7670,Non-Randomized Class, Aggression/Bullying, Private
-0.49,3.3108727097396e-4,7670,Non-Randomized Class, Aggression/Bullying, Private
-0.79,7.7055932809149e-4,7670,Non-Randomized Class, Relational Aggression, Private
0.174352771182898,0.116281,7535,Randomized Individual, Cyberbullying, Public
-1.9403708510315,1.80360266718538,7606,Non-Randomized Individual, Cyberbullying, Mixture
-2.53761728353226,1.74104006462546,7606,Non-Randomized Individual, Cyberbullying, Mixture
-0.95556206408971,0.101197975717336,7606,Non-Randomized Individual, Cyberbullying, Private
-0.419515903769775,0.0256239015796347,7582,Randomized Class, Aggression/Bullying, Mixture
-1.12597531571671,5.784025,7536,Randomized Individual, Cyberbullying, Public
-0.459585774497618,0.0239243902033746,7582,Randomized Class, Aggression/Bullying, Mixture
-0.164380610028293,0.0264342575799961,7582,Randomized Class, Aggression/Bullying, Mixture
-0.533192498303912,0.0263860513097831,7582,Randomized Class, Aggression/Bullying, Mixture
-0.445161362661996,0.0304255334010378,7582,Randomized Class, Cyberbullying, Mixture
-0.64481041493217,0.0297505148278078,7582,Randomized Class, Cyberbullying, Mixture
-0.206326722642272,0.0301014943873752,7582,Randomized Class, Cyberbullying, Mixture
-0.598554828651322,0.030828320085162,7582,Randomized Class, Cyberbullying, Mixture
-0.779848309823787,0.0266494714720372,7582,Randomized Class, Aggression/Bullying, Mixture
-0.325484841756769,0.0214757708790154,7582,Randomized Class, Aggression/Bullying, Mixture
-0.491717709241317,0.0272196482681495,7582,Randomized Class, Aggression/Bullying, Mixture
-0.636474823093304,0.0210684641559232,7582,Randomized Class, Relational Aggression, Mixture
-0.799896490676574,0.0215353903446485,7582,Randomized Class, Aggression/Bullying, Mixture
-0.663772332512358,0.0211757412836879,7582,Randomized Class, Aggression/Bullying, Mixture
-0.109981728745337,0.0175858050407241,7582,Randomized Class, Internalizing, Mixture
-0.684313694017269,0.0213627039200354,7582,Randomized Class, Internalizing, Mixture
-0.115744668451503,0.0629102899887351,1385,Randomized Class, Cyberbullying, Public
-0.0852166426825709,0.0265105332237559,1385,Randomized Class, Cyberbullying, Public
0.00678155502680814,0.0628892761875837,1385,Randomized Class, Cyberbullying, Public
-0.075437818845887,0.026549340130399,1385,Randomized Class, Cyberbullying, Public
-0.192,0.0885084010840108,7545,Non-Randomized School, Cyberbullying, Public
-0.332874032892336,0.00939745308216837,7708,Randomized Class, Cyberbullying, Mixture
1.1962059281223e-4,0.00927732108244848,7708,Randomized Class, Cyberbullying, Mixture
-0.415383943505878,0.00980368115621598,7708,Randomized Class, Cyberbullying, Mixture
-0.188461974250628,0.00971159011170001,7708,Randomized Class, Cyberbullying, Mixture
0.0638,0.0857966044954567,7545,Non-Randomized School, Cyberbullying, Public
-0.541675782125832,0.0314153980829738,7582,Randomized Class, Cyberbullying, Mixture
-0.0476571334984663,0.0015250583986327,6499,Randomized School, School Performance, Public
-0.0802407183226595,0.00152640914863151,6499,Randomized School, School Performance, Public
-0.053517916833697,0.00152526710136609,6499,Randomized School, School Performance, Public
0.00223936831913989,0.00169537217233678,6499,Randomized School, Aggression/Bullying, Public
0.0492208765006073,0.00169678365233846,6499,Randomized School, Aggression/Bullying, Public
-0.0816132931684885,0.00219534724704189,6499,Randomized School, Aggression/Bullying, Public
-0.00115576827921236,0.00171104295258787,6499,Randomized School, Aggression/Bullying, Public
0.0108788853816185,0.00171113599231247,6499,Randomized School, Aggression/Bullying, Public
-0.103887016868096,0.00171258617828568,6499,Randomized School, Aggression/Bullying, Public
0.0448183530061216,0.00225327815365798,6499,Randomized School, Aggression/Bullying, Public
0.0784937487246748,0.00225718901011527,6499,Randomized School, Aggression/Bullying, Public
-0.0718252971618872,0.00224536610909337,6499,Randomized School, Aggression/Bullying, Public
-0.0429653955355636,0.00181871154753131,6499,Randomized School, Cyberbullying, Public
-0.00947769836492824,0.00181850660609597,6499,Randomized School, Cyberbullying, Public
-0.0568403209922939,0.00181891326712893,6499,Randomized School, Cyberbullying, Public
